STARDUST_SAVEPOINT_V1
simulationTime=4.6623112545E11
stepCount=902071255
totalMerges=42759
totalBounces=30806
totalFragmentations=18858
totalEscapes=0
totalStarFalls=0
particleCount=310

PARTICLES:
5,-6.93414817199497E10,5.429159239463897E10,-1.283450835561002E9,-24512.502878206906,-29779.311382839944,33.276093539012706,4.450735534279458E19,-2.697427992311978E-10,100.0,473639.2956006741,0
21,-2.421712151415536E10,-8.163525423795079E10,-1.705744316145233E9,37995.2559311539,-10560.302631534894,680.8078722122711,9.235816326291045E19,-6.151710769650279E-10,100.0,604127.899753383,0
99,2.8780208857746063E10,6.934533817936415E10,3.698663115713126E8,-38894.391743409506,15967.450349651739,-446.8231616973144,2.040478915969248E19,2.175100672691547E-10,100.0,365214.3505143417,0
217,6.389501582885764E10,-3.680934692377131E10,2.747376021018951E8,20717.81890834526,37043.43730802867,728.8205926224925,2.246279382536584E19,1.6247528856100768E-10,100.0,377101.61054658744,0
412,-4.687666163894398E10,5.015351036402468E10,3.0952828870961547E8,-33449.41457044024,-29732.278455395026,-232.48209772857575,7.012817992466189E19,-5.53497046112844E-10,100.0,551147.6831104725,0
587,-4.52264430316335E10,1.6293811265091293E9,-4.9784411194978124E8,-2117.52080968099,-53771.73371673016,219.01431570569193,6.426387619431764E19,-1.7223618216189297E-10,100.0,535335.5723686292,0
650,8.309220337450041E10,-6.797772620938867E9,1.173040674997569E9,2441.01908974275,39612.23099038571,1070.3842828676197,5.537196948342339E19,-2.652138064399523E-11,100.0,509409.5945930228,0
958,-8.50277329642425E10,1.6036894311940945E10,-1.0403723114089836E9,-5076.01783576192,-38820.3239704372,318.9970541311166,5.342896506105327E19,6.322672798266328E-10,100.0,503380.10943776293,0
1000,-7.39068222042282E10,-1.7014458171836763E10,-4.956296850799871E8,10987.442855786981,-41404.43237439461,-413.63892088667365,3.0628663020676936E19,8.210189529663105E-10,100.0,418163.84151332756,0
1807,8.464491028001854E10,6.384440726600317E10,5.563723935636933E8,-21131.136554495104,28409.275518620816,-214.63457308694598,9.052614020094424E19,4.798309379381202E-10,100.0,600106.6850850609,0
1969,7.12563932155829E10,7.269477306849516E10,1.5809870987263098E9,-26116.522786369656,25193.007204584723,-135.66686160339364,4.075509510029063E19,1.8351002083294245E-10,100.0,459936.3847454437,0
2011,3.96749115125019E10,9.66887407017116E10,4.544152106322836E8,-33135.6588480593,12407.830846290244,199.8376434915917,2.2817046281583927E19,-4.851608186477434E-10,100.0,379073.6567045209,0
2051,-3.661783038759508E10,5.409182216982163E10,8.842298040765595E8,-37163.405807415,-25631.33014052558,-571.7478733915176,3.2117131017916187E19,4.83141321975487E-10,100.0,424830.8482871987,0
2096,-2.312898248216297E10,8.326809020201471E10,7.813724449696269E8,-37723.03677467117,-11496.766901283969,265.4993013060386,2.319509589929924E19,9.522690334883345E-10,100.0,381155.78971640975,0
2119,-4.4975294373298996E10,7.463404535643825E10,9.74152555069351E8,-33772.601805907965,-19001.840110882946,-352.4198804871385,5.184202775212672E19,-3.493033344529093E-10,100.0,498346.16858109384,0
2415,1.4386267664805037E10,-8.022659727356868E10,-6.41408434562544E8,39547.786143257166,6839.362333592308,-65.30488025697181,9.333186524101684E19,6.348025784703794E-10,100.0,606243.5234090507,0
2777,-1.011260838425811E11,2.225248540531391E10,-8.443953211691804E8,-7492.624853914551,-35084.83302415626,-288.32959227299983,5.07445562604206E19,-6.973732970449136E-10,100.0,494804.4725942944,0
3139,7.395824193596344E10,2.6868065595159897E10,-9.482128567945812E8,-13854.371670057071,39671.82625250333,656.2403723010901,3.461600187462712E19,-6.990128580724319E-10,100.0,435574.81964407366,0
